apple Apple
avocado Avocado
banana Banana
kiwi Kiwi
lemon Lemon
lime Lime
mango Mango
melon Melon
nectarine Nectarine
orange Orange
papaya Papaya
passion-fruit Passion-Fruit
peach Peach
pear Pear
pineapple Pineapple
plum Plum
pomegranate Pomegranate
red-grapefruit Red-Grapefruit
satsumas Satsumas
juice Juice
milk Milk
oatghurt Oatghurt
oat-milk Oat-Milk
sour-cream Sour-Cream
sour-milk Sour-Milk
soyghurt Soyghurt
soy-milk Soy-Milk
yoghurt Yoghurt
asparagus Asparagus
aubergine Aubergine
cabbage Cabbage
carrots Carrots
cucumber Cucumber
garlic Garlic
ginger Ginger
leek Leek
mushroom Mushroom
onion Onion
pepper Pepper
potato Potato
red-beet Red-Beet
tomato Tomato
zucchini Zucchini
stk Steak
steak Steak
egg Egg
pork Pork
chicken Chicken
fish Fish
shrimp Shrimp
